Group,Subject,EEG Band,Lemon Power,Rose Power,Difference (Rose - Lemon)
Normal,10,Gamma (30–40 Hz),1058.8482203636784,80.53494082319516,-978.3132795404832
Normal,11,Delta (1–4 Hz),94818.62471330131,131376.12127694857,36557.49656364726
Normal,11,Theta (4–8 Hz),2297.544891309608,9793.810935836946,7496.266044527338
Normal,11,Alpha (8–13 Hz),314.0108708555709,1162.81763980181,848.8067689462391
Normal,11,Beta (13–30 Hz),20.91706771178332,230.29902582031272,209.3819581085294
Normal,11,Gamma (30–40 Hz),2.8618346978947056,26.52203872413946,23.660204026244756
Normal,12,Delta (1–4 Hz),302531.423717557,118606.24569936382,-183925.17801819317
Normal,12,Theta (4–8 Hz),21339.458388464613,23434.074761776024,2094.6163733114117
Normal,12,Alpha (8–13 Hz),3149.985287449638,2032.6983885576956,-1117.2868988919422
Normal,12,Beta (13–30 Hz),221.2007539875798,285.3998423089406,64.19908832136082
Normal,12,Gamma (30–40 Hz),9.842471829944602,11.433130676460218,1.5906588465156162
Normal,13,Delta (1–4 Hz),107504.78140533372,192774.87100061073,85270.08959527701
Normal,13,Theta (4–8 Hz),4921.629721958586,6572.068613193079,1650.438891234493
Normal,13,Alpha (8–13 Hz),472.6727015958896,908.0705266611864,435.3978250652968
Normal,13,Beta (13–30 Hz),35.57715306491628,119.35669377669379,83.77954071177751
Normal,13,Gamma (30–40 Hz),2.7070870924743686,8.164422891766014,5.457335799291645
Normal,14,Delta (1–4 Hz),0.11562391370534897,0.11129053682088852,-0.004333376884460449
Normal,14,Theta (4–8 Hz),0.0828329548239708,0.08507006615400314,0.0022371113300323486
Normal,14,Alpha (8–13 Hz),0.05690918117761612,0.0620989128947258,0.00518973171710968
Normal,14,Beta (13–30 Hz),0.05673724785447121,0.05694950371980667,0.00021225586533546448
Normal,14,Gamma (30–40 Hz),0.05006325617432594,0.046773459762334824,-0.0032897964119911194
Normal,15,Delta (1–4 Hz),0.05620848014950752,0.05086882412433624,-0.00533965602517128
Normal,15,Theta (4–8 Hz),0.018401922658085823,0.018979210406541824,0.0005772877484560013
Normal,15,Alpha (8–13 Hz),0.019518552348017693,0.02043733187019825,0.0009187795221805573
Normal,15,Beta (13–30 Hz),0.01801418326795101,0.017398951575160027,-0.0006152316927909851
Normal,15,Gamma (30–40 Hz),0.010241571813821793,0.010746356099843979,0.0005047842860221863
MCI,1,Delta (1–4 Hz),7.3335418701171875,5.959586143493652,-1.3739557266235352
MCI,1,Theta (4–8 Hz),5.712131023406982,4.603657245635986,-1.108473777770996
MCI,1,Alpha (8–13 Hz),1.0545512437820435,0.9001417756080627,-0.1544094681739807
MCI,1,Beta (13–30 Hz),0.2869991958141327,0.2733289301395416,-0.013670265674591064
